academic_year,provider_slug,download_url,bytes
2023-24,staffordshire-university,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/staffordshire-university/grant-data-tables,4862
2023-24,suffolk,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/suffolk/grant-data-tables,3191
2023-24,sunderland,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/sunderland/grant-data-tables,4832
2023-24,surrey,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/surrey/grant-data-tables,5798
2023-24,sussex,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/sussex/grant-data-tables,7535
2023-24,teesside-university,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/teesside-university/grant-data-tables,4444
2023-24,the-place,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/the-place/grant-data-tables,2866
2023-24,trinity-laban-conservatoire-of-music-and-dance,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/trinity-laban-conservatoire-of-music-and-dance/grant-data-tables,4298
2023-24,ucl,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/ucl/grant-data-tables,9241
2023-24,uclan,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/uclan/grant-data-tables,6358
2023-24,uea,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/uea/grant-data-tables,7061
2023-24,university-college-of-osteopathy,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/university-college-of-osteopathy/grant-data-tables,3558
2023-24,university-for-the-creative-arts,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/university-for-the-creative-arts/grant-data-tables,3791
2023-24,uwe,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/uwe/grant-data-tables,5470
2023-24,warwick,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/warwick/grant-data-tables,7193
2023-24,west-london,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/west-london/grant-data-tables,4608
2023-24,westminster,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/westminster/grant-data-tables,5951
2023-24,winchester,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/winchester/grant-data-tables,5123
2023-24,wolverhampton,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/wolverhampton/grant-data-tables,6224
2023-24,worcester,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/worcester/grant-data-tables,5089
2023-24,york,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/york/grant-data-tables,7246
2023-24,york-st-john-university,https://funding.re.ukri.org/files/download/grant-data-tables-2023-to-2024/york-st-john-university/grant-data-tables,5571
2024-25,anglia-ruskin-university-higher-education-corporation,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/anglia-ruskin-university-higher-education-corporation/grant-data-tables,6212
2024-25,arts-london,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/arts-london/grant-data-tables,3332
2024-25,arts-university-bournemouth,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/arts-university-bournemouth/grant-data-tables,3792
